Fibonacci Sequence Num,Time Elapsed,Fibonacci Number
1,0,1
2,0,2
3,0,3
4,0,5
5,0,8
6,0,13
7,0,21
8,0,34
9,0,55
10,0,89
11,0,144
12,0,233
13,0,377
14,0,610
15,1,987
16,0,1597
17,2,2584
18,1,4181
19,1,6765
20,0,10946
21,1,17711
22,1,28657
23,1,46368
24,2,75025
25,3,121393
26,3,196418
27,5,317811
28,6,514229
29,7,832040
30,10,1346269
31,15,2178309
32,26,3524578
33,38,5702887
34,63,9227465
35,100,14930352
36,163,24157817
37,263,39088169
38,425,63245986
39,687,102334155
40,1129,165580141
41,1800,267914296
42,2918,433494437
43,4738,701408733
44,7637,1134903170
45,12360,1836311903
46,19939,2971215073
47,34974,4807526976
48,56492,7778742049
,,
Total Time,143811,
